host	avian	#4066CF
host	environment	#77B67F
host	nonhuman mammal	#CEB541
host	human	#DC2F24
h5_label_clade	0	#5E1D9D
h5_label_clade	1	#521EA7
h5_label_clade	1-8-9-like	#4C24B0
h5_label_clade	1.1	#472DB8
h5_label_clade	1.1-like	#4335C0
h5_label_clade	1.1.1	#403EC6
h5_label_clade	1.1.2	#3F48C9
h5_label_clade	2-like	#3F53CD
h5_label_clade	2.1.1	#3E5DD0
h5_label_clade	2.1.2	#4066CF
h5_label_clade	2.1.3	#4270CE
h5_label_clade	2.1.3.1	#4379CD
h5_label_clade	2.1.3.2	#4682C9
h5_label_clade	2.1.3.2a	#4989C4
h5_label_clade	2.1.3.2b	#4C91C0
h5_label_clade	2.1.3.3	#5097BA
h5_label_clade	2.2	#549DB3
h5_label_clade	2.2.1	#58A2AC
h5_label_clade	2.2.1.1	#5CA7A5
h5_label_clade	2.2.1.1a	#61AB9D
h5_label_clade	2.2.1.2	#67AE95
h5_label_clade	2.2.2	#6CB28D
h5_label_clade	2.2.2.1	#72B485
h5_label_clade	2.3.1	#78B77D
h5_label_clade	2.3.2	#7FB976
h5_label_clade	2.3.2.1	#85BA6E
h5_label_clade	2.3.2.1a	#8CBB68
h5_label_clade	2.3.2.1b	#93BD62
h5_label_clade	2.3.2.1c	#9BBE5C
h5_label_clade	2.3.3	#A2BE57
h5_label_clade	2.3.4	#A9BD53
h5_label_clade	2.3.4-like	#B1BD4E
h5_label_clade	2.3.4.1	#B8BC4B
h5_label_clade	2.3.4.2	#BFBB48
h5_label_clade	2.3.4.3	#C5B945
h5_label_clade	2.3.4.4	#CCB742
h5_label_clade	2.4	#D1B340
h5_label_clade	2.5	#D6AF3E
h5_label_clade	3	#DCAB3D
h5_label_clade	3-like	#DFA53B
h5_label_clade	4	#E29E39
h5_label_clade	5	#E49838
h5_label_clade	5-6-like	#E68F36
h5_label_clade	6	#E68634
h5_label_clade	7	#E67C33
h5_label_clade	7.1	#E67231
h5_label_clade	7.2	#E4652E
h5_label_clade	8	#E2592C
h5_label_clade	8-9-like	#E04D29
h5_label_clade	9	#DF4127
h5_label_clade	EA-nonGsGD	#DD3425
h5_label_clade	Am-nonGsGD	#891916